title;artist;album;isrc;addedDate;addedBy;duration;url
"When We Were Us";"Bon Jovi";"This House Is Not For Sale (Deluxe)";USUG11800012;;;214s;http://www.tidal.com/track/98918716
Walls;"Bon Jovi";"This House Is Not For Sale (Deluxe)";USUG11800013;;;217s;http://www.tidal.com/track/98918717
"This House Is Not For Sale";"Bon Jovi";"This House Is Not For Sale (Deluxe)";USUM71605784;;;216s;http://www.tidal.com/track/98918718
"Living With The Ghost";"Bon Jovi";"This House Is Not For Sale (Deluxe)";USUM71606204;;;284s;http://www.tidal.com/track/98918719
Knockout;"Bon Jovi";"This House Is Not For Sale (Deluxe)";USUM71606205;;;210s;http://www.tidal.com/track/98918720
"Labor Of Love";"Bon Jovi";"This House Is Not For Sale (Deluxe)";USUM71606206;;;303s;http://www.tidal.com/track/98918721
"Born Again Tomorrow";"Bon Jovi";"This House Is Not For Sale (Deluxe)";USUM71606207;;;213s;http://www.tidal.com/track/98918722
"Roller Coaster";"Bon Jovi";"This House Is Not For Sale (Deluxe)";USUM71606208;;;220s;http://www.tidal.com/track/98918723
"New Year's Day";"Bon Jovi";"This House Is Not For Sale (Deluxe)";USUM71606209;;;267s;http://www.tidal.com/track/98918724
"The Devil's In The Temple";"Bon Jovi";"This House Is Not For Sale (Deluxe)";USUM71606210;;;199s;http://www.tidal.com/track/98918725
"Scars On This Guitar";"Bon Jovi";"This House Is Not For Sale (Deluxe)";USUM71606211;;;305s;http://www.tidal.com/track/98918726
"God Bless This Mess";"Bon Jovi";"This House Is Not For Sale (Deluxe)";USUM71606212;;;203s;http://www.tidal.com/track/98918727
Reunion;"Bon Jovi";"This House Is Not For Sale (Deluxe)";USUM71606213;;;254s;http://www.tidal.com/track/98918728
"Come On Up To Our House";"Bon Jovi";"This House Is Not For Sale (Deluxe)";USUM71606214;;;275s;http://www.tidal.com/track/98918729
"Real Love";"Bon Jovi";"This House Is Not For Sale (Deluxe)";USUM71606215;;;274s;http://www.tidal.com/track/98918730
"All Hail The King";"Bon Jovi";"This House Is Not For Sale (Deluxe)";USUM71606216;;;294s;http://www.tidal.com/track/98918731
"We Don't Run";"Bon Jovi";"This House Is Not For Sale (Deluxe)";USUM71606217;;;196s;http://www.tidal.com/track/98918732
"Shake That Bagpipe";"The Sidh";"Another Way to Fly";ITK191800069;;;228s;http://www.tidal.com/track/88603489
"The Silk Road";"The Sidh";"Another Way to Fly";ITK191800070;;;250s;http://www.tidal.com/track/88603490
Khan;"The Sidh, Marcin Ruminski";"Another Way to Fly";ITK191800071;;;181s;http://www.tidal.com/track/88603491
Alba;"The Sidh";"Another Way to Fly";ITK191800072;;;214s;http://www.tidal.com/track/88603492
Iridium;"The Sidh";"Another Way to Fly";ITK191800073;;;248s;http://www.tidal.com/track/88603493
"I Can't Let Go";"The Sidh, Tim Chaisson";"Another Way to Fly";ITK191800074;;;193s;http://www.tidal.com/track/88603494
Sileadh;"The Sidh";"Another Way to Fly";ITK191800075;;;212s;http://www.tidal.com/track/88603495
"Vault 04";"The Sidh";"Another Way to Fly";ITK191800076;;;187s;http://www.tidal.com/track/88603496
Reeloading;"The Sidh";"Another Way to Fly";ITK191800077;;;216s;http://www.tidal.com/track/88603497
Heroes;"The Sidh, Ross Ainslie";"Another Way to Fly";ITK191800078;;;203s;http://www.tidal.com/track/88603498
"Goldie's Goldie";"The Sidh, Colin Goldie";"Another Way to Fly";ITK191800079;;;195s;http://www.tidal.com/track/88603499
YUKI;"The Sidh";"Another Way to Fly";ITK191800080;;;202s;http://www.tidal.com/track/88603500
"Gemina XIII";"The Sidh";"Another Way to Fly";ITK191800081;;;168s;http://www.tidal.com/track/88603501
"From Father to Son";"The Sidh";"Another Way to Fly";ITK191800082;;;201s;http://www.tidal.com/track/88603502
"Lost Lands 2017 Mix";Excision;"Lost Lands 2017 Mix";UK7H21500160;;;4831s;http://www.tidal.com/track/83150952
Exterminate;Excision;Apex;NLRD51831604;;;214s;http://www.tidal.com/track/93368154
"1 On 1";"Excision, Space Laces";Apex;NLRD51831605;;;199s;http://www.tidal.com/track/93368155
"Wake Up";"Excision, Sullivan King";Apex;NLRD51831606;;;339s;http://www.tidal.com/track/93368156
Tonight;Excision;Apex;NLRD51831607;;;271s;http://www.tidal.com/track/93368157
"Gold (Stupid Love)";"Excision, Illenium, Shallows";Apex;NLRD51831603;;;295s;http://www.tidal.com/track/93368158
Fall;Excision;Apex;NLRD51831608;;;236s;http://www.tidal.com/track/93368159
Home;"Excision, Dion Timmer";Apex;NLRD51831609;;;237s;http://www.tidal.com/track/93368160
"Where Are You";"Excision, Dion Timmer";Apex;NLRD51831610;;;185s;http://www.tidal.com/track/93368161
